id;name;description;start_nr;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;
1;KLASIK;Neupravené moto, tak jak bylo vyráběno,  více "zde.":http://www.casomira-ewitis.cz/zavod/dachl-cup-krimice-05-2012/ozavode#klasik;1;0;0;0;0;0;0;0;0;0;0;
2;SPECIÁL;Upravené moto, pouze s motorovým základem JAWA 50 PIONÝR, více "zde.":http://www.casomira-ewitis.cz/zavod/dachl-cup-krimice-05-2012/ozavode#special;1;0;0;0;0;0;0;0;0;0;0;
3;VETERÁN KLASIK;Živočich starší 40ti let(ročník 1971 a starší), více "zde.":http://www.casomira-ewitis.cz/zavod/dachl-cup-krimice-05-2012/ozavode#veteran;1;0;0;0;0;0;0;0;0;0;0;
4;PITBIKE JUNIOR;Do 15 let(ročník ), do objemu motoru 125ccm, více "zde.":http://www.casomira-ewitis.cz/zavod/dachl-cup-krimice-05-2012/ozavode#pitbike_junior;1;0;0;0;0;0;0;0;0;0;0;
5;PITBIKE OPEN;Nad 15 let(ročník 1995 a starší), do objemu motoru 160ccm, více "zde.":http://www.casomira-ewitis.cz/zavod/dachl-cup-krimice-05-2012/ozavode#pitbike_open;1;0;0;0;0;0;0;0;0;0;0;
6;RŮŽOVÝ DRAPÁK;Pro ženy všech věkových kategorií.;1;0;0;0;0;0;0;0;0;0;0;
7;PITBIKE 140;Nad 15 let(ročník 1995 a starší);1;0;0;0;0;0;0;0;0;0;0;
8;VETERÁN SPECIÁL;Živočich starší 40ti let(ročník 1971 a starší), více "zde.":http://www.casomira-ewitis.cz/zavod/dachl-cup-krimice-05-2012/ozavode#veteran;1;0;0;0;0;0;0;0;0;0;0;
